Property Name,Floorplan,Unit,Floor,Bedrooms,Bathrooms,Partial Bathrooms,SF,Available On,Deposit,Term,Est AMI Level,Last Asking Rent,Asking Rent PSF,Last Effective Rent,Effective Rent PSF,On Market Date,Off Market Date,Days on Market,Days Vacant
Canyon Ridge,A3,C-306,3,1,1,,593,4/5/2025,700,12,80%,1600,2.7,1415,2.39,2025-03-06,2025-04-06,32,2
Canyon Ridge,A3,C-106,1,1,1,,593,4/5/2025,500,12,80%,1605,2.71,1420,2.39,2025-03-11,2025-05-09,60,35
Canyon Ridge,A3,A-307,3,1,1,,593,9/1/2024,700,12,80%,1650,2.78,1650,2.78,2024-07-26,2024-09-09,46,9
Canyon Ridge,A3,B-317,3,1,1,,593,3/15/2025,700,12,80%,1650,2.78,1459,2.46,2024-11-15,2025-04-09,146,26
Canyon Ridge,A3,A-407,4,1,1,,593,9/1/2024,700,12,80%,1655,2.79,1655,2.79,2024-07-26,2024-08-17,23,0
Canyon Ridge,A3,B-117,1,1,1,,593,3/15/2025,500,12,80%,1670,2.82,1477,2.49,2024-11-15,2025-06-03,201,81
Canyon Ridge,A3 1x1,B-320,3,1,1,,593,9/1/2024,700,12,80%,1600,2.7,1600,2.7,2024-07-16,2024-07-26,11,0
Canyon Ridge,A3 1x1,B-320,3,1,1,,593,3/15/2025,700,12,80%,1600,2.7,1477,2.49,2024-11-15,2025-04-03,140,20
Canyon Ridge,A3 1x1,B-320,3,1,1,,593,1/31/2026,700,13,80%,1689,2.85,1569,2.65,2026-01-13,2026-02-19,38,20
Canyon Ridge,A3,D-213,2,1,1,,593,8/12/2025,700,14,120%,1720,2.9,1720,2.9,2025-07-02,2026-01-15,198,157
Canyon Ridge,A3 1x1,D-311,3,1,1,,593,8/12/2025,700,15,120%,1495,2.52,1495,2.52,2025-07-02,2025-10-22,113,72
Canyon Ridge,A3 1x1,D-311,3,1,1,,593,5/19/2026,700,12,120%,1720,2.9,1720,2.9,2026-03-14,2026-03-21,8,0
Canyon Ridge,A3,D-111,1,1,1,,593,8/12/2025,700,12,120%,1725,2.91,1459,2.46,2025-07-02,2025-09-18,79,38
Canyon Ridge,A3,E-106,1,1,1,,593,8/5/2025,700,14,120%,1725,2.91,1725,2.91,2025-05-30,2026-01-06,222,155
Canyon Ridge,A3,D-113,1,1,1,,593,8/12/2025,700,14,120%,1725,2.91,1725,2.91,2025-07-02,2026-01-08,191,150
Canyon Ridge,A3,D-504,5,1,1,,593,8/12/2025,700,12,120%,1745,2.94,1476,2.49,2025-07-02,2025-08-14,44,3
Canyon Ridge,A3 1x1,B-420,4,1,1,,593,3/15/2025,700,12,120%,1655,2.79,1464,2.47,2024-11-15,2025-04-10,147,27
Canyon Ridge,A3 1x1,B-420,4,1,1,,593,10/24/2025,700,13,120%,1775,2.99,1649,2.78,2025-08-15,2026-02-13,183,113
Canyon Ridge,A3,D-511,5,1,1,,593,8/12/2025,700,12,120%,1795,3.03,1519,2.56,2025-07-02,2025-09-12,73,32
Canyon Ridge,A3 1x1,B-120,1,1,1,,593,3/15/2025,500,12,120%,1570,2.65,1389,2.34,2024-11-15,2025-05-02,169,49
Canyon Ridge,A3 1x1,B-120,1,1,1,,593,7/17/2026,700,12,120%,1810,3.05,1810,3.05,2026-05-13,2026-05-21,9,0
Canyon Ridge,A3 1x1,C-206,2,1,1,,593,4/5/2025,700,12,120%,1615,2.72,1429,2.41,2025-03-11,2025-04-15,36,11
Canyon Ridge,A3 1x1,C-206,2,1,1,,593,7/20/2026,700,12,120%,1820,3.07,1820,3.07,2026-05-15,2026-05-29,15,0
Canyon Ridge,A3 1x1,D-413,4,1,1,,593,8/12/2025,700,13,120%,1820,3.07,1691,2.85,2025-07-02,2026-03-08,250,209
Canyon Ridge,A3 1x1,B-217,2,1,1,,593,9/1/2024,700,12,120%,1600,2.7,1600,2.7,2024-07-16,2024-07-26,11,0
Canyon Ridge,A3 1x1,B-217,2,1,1,,593,3/15/2025,700,12,120%,1600,2.7,1354,2.28,2024-11-15,2025-01-31,78,0
Canyon Ridge,A3 1x1,B-217,2,1,1,,593,6/9/2026,700,12,120%,1845,3.11,1845,3.11,2026-04-02,2026-04-16,15,0
Canyon Ridge,A3 1x1,B-417,4,1,1,,593,3/15/2025,700,12,120%,1660,2.8,1404,2.37,2024-11-15,2025-01-27,74,0
Canyon Ridge,A3 1x1,B-417,4,1,1,,593,4/25/2026,700,13,120%,1855,3.13,1855,3.13,2026-03-21,2026-04-01,12,0
Canyon Ridge,A3 1x1,E-306,3,1,1,,593,8/5/2025,700,12,120%,1690,2.85,1430,2.41,2025-07-02,2025-07-23,22,0
Canyon Ridge,A3 1x1,E-306,3,1,1,,593,9/12/2026,700,,120%,1870,3.15,1870,3.15,2026-07-03,,13,0
Canyon Ridge,A3 1x1,D-513,5,1,1,,593,8/12/2025,700,14,120%,1875,3.16,1689,2.85,2025-07-02,2026-01-29,212,171
Canyon Ridge,A3 1x1,E-406,4,1,1,,593,8/5/2025,700,13,120%,1599,2.7,1429,2.41,2025-05-30,2026-02-07,254,187
Canyon Ridge,A3 1x1,E-406,4,1,1,,593,9/7/2026,700,,120%,1885,3.18,1885,3.18,2026-07-03,,13,0
Canyon Ridge,A3 1x1,D-411,4,1,1,,593,8/12/2025,700,14,120%,1720,2.9,1720,2.9,2025-07-02,2026-01-04,187,146
Canyon Ridge,A3 1x1,D-411,4,1,1,,593,7/27/2026,700,,120%,1945,3.28,1945,3.28,2026-05-22,2026-06-20,30,0
Canyon Ridge,A3 1x1,D-313,3,1,1,,593,8/12/2025,700,12,120%,1595,2.69,1595,2.69,2025-07-02,2025-09-09,70,29
Canyon Ridge,A3 1x1,D-313,3,1,1,,593,8/12/2026,700,,120%,1995,3.36,1995,3.36,2026-06-09,,37,0
Canyon Ridge,A2,E-104,1,1,1,,722,9/1/2024,700,12,80%,1580,2.19,1580,2.19,2024-07-16,2024-07-26,11,0
Canyon Ridge,A2,E-104,1,1,1,,722,8/5/2025,700,15,80%,1495,2.07,1495,2.07,2025-05-30,2025-11-18,173,106
Canyon Ridge,A2,D-105,1,1,1,,722,9/1/2024,700,12,80%,1730,2.4,1730,2.4,2024-07-16,2024-07-26,11,0
Canyon Ridge,A2,D-105,1,1,1,,722,8/12/2025,700,15,80%,1495,2.07,1311,1.82,2025-07-02,2025-12-23,175,134
Canyon Ridge,A2,C-104,1,1,1,,722,9/1/2024,700,12,80%,1730,2.4,1730,2.4,2024-07-16,2024-07-26,11,0
Canyon Ridge,A2,C-104,1,1,1,,722,10/2/2025,700,15,80%,1495,2.07,1311,1.82,2025-03-11,2025-12-14,279,74
Canyon Ridge,A2 1x1,D-512,5,1,1,,722,8/12/2025,700,14,80%,1549,2.15,1396,1.93,2025-07-02,2026-02-01,215,174
Canyon Ridge,A2,D-308,3,1,1,,722,8/12/2025,700,12,80%,1565,2.17,1324,1.83,2025-07-02,2025-08-17,47,6
Canyon Ridge,A2,E-204,2,1,1,,722,8/5/2025,700,12,80%,1565,2.17,1565,2.17,2025-05-30,2025-08-08,71,4
Canyon Ridge,A2,D-214,2,1,1,,722,8/12/2025,700,14,80%,1565,2.17,1358,1.88,2025-07-02,2025-10-03,94,53
Canyon Ridge,A2,E-304,3,1,1,,722,8/5/2025,700,12,80%,1565,2.17,1565,2.17,2025-05-30,2025-08-08,71,4
Canyon Ridge,A2,D-208,2,1,1,,722,8/12/2025,700,12,80%,1565,2.17,1565,2.17,2025-07-02,2025-08-24,54,13
Canyon Ridge,A2,C-103,1,1,1,,722,9/25/2025,700,15,80%,1595,2.21,1399,1.94,2025-03-11,2025-11-10,245,47
Canyon Ridge,A2,D-412,4,1,1,,722,8/12/2025,700,15,80%,1595,2.21,1399,1.94,2025-07-02,2025-11-16,138,97
Canyon Ridge,A2,C-105,1,1,1,,722,4/5/2025,700,15,80%,1595,2.21,1595,2.21,2025-03-11,2025-11-19,254,229
Canyon Ridge,A2,D-414,4,1,1,,722,8/12/2025,700,15,80%,1595,2.21,1595,2.21,2025-07-02,2025-11-21,143,102
Canyon Ridge,A2,C-404,4,1,1,,722,4/5/2025,500,12,80%,1595,2.21,1411,1.95,2025-03-06,2025-06-01,88,58
Canyon Ridge,A2,D-408,4,1,1,,722,8/12/2025,700,15,80%,1595,2.21,1595,2.21,2025-07-02,2025-10-25,116,75
Canyon Ridge,A2,D-205,2,1,1,,722,9/1/2024,700,12,80%,1725,2.39,1725,2.39,2024-07-16,2024-07-26,11,0
Canyon Ridge,A2,D-205,2,1,1,,722,8/12/2025,700,15,80%,1595,2.21,1399,1.94,2025-07-02,2025-10-31,122,81
Canyon Ridge,A2 1x1,D-503,5,1,1,,722,8/12/2025,700,13,80%,1599,2.21,1429,1.98,2025-07-02,2026-02-04,218,177
Canyon Ridge,A2 1x1,D-505,5,1,1,,722,8/12/2025,700,13,80%,1599,2.21,1429,1.98,2025-07-02,2026-02-09,223,182
Canyon Ridge,A2,C-204,2,1,1,,722,4/5/2025,700,12,80%,1620,2.24,1371,1.9,2025-03-11,2025-06-28,110,85
Canyon Ridge,A2,D-312,3,1,1,,722,8/12/2025,700,12,80%,1775,2.46,1775,2.46,2025-07-02,2025-08-23,53,12
Canyon Ridge,A2,D-312,3,1,1,,722,12/24/2025,700,14,80%,1675,2.32,1675,2.32,2025-12-23,2026-01-17,26,25
Canyon Ridge,A2,A-408,4,1,1,,722,9/1/2024,700,12,80%,1695,2.35,1695,2.35,2024-07-26,2024-11-19,117,80
Canyon Ridge,A2,A-406,4,1,1,,722,9/1/2024,700,12,80%,1695,2.35,1695,2.35,2024-07-26,2024-11-16,114,77
Canyon Ridge,A2,D-508,5,1,1,,722,8/12/2025,700,14,80%,1699,2.35,1475,2.04,2025-07-02,2026-01-28,211,170
Canyon Ridge,A2,C-304,3,1,1,,722,4/5/2025,500,12,80%,1700,2.35,1504,2.08,2025-03-11,2025-04-27,48,23
Canyon Ridge,A2,B-211,2,1,1,,722,3/15/2025,700,12,80%,1700,2.35,1438,1.99,2024-10-18,2025-03-20,154,6
Canyon Ridge,A2,B-312,3,1,1,,722,3/15/2025,700,12,80%,1700,2.35,1438,1.99,2024-10-18,2025-03-20,154,6
Canyon Ridge,A2,B-204,2,1,1,,722,3/15/2025,700,12,80%,1700,2.35,1438,1.99,2024-10-18,2025-03-20,154,6
Canyon Ridge,A2,B-205,2,1,1,,722,3/15/2025,700,12,80%,1700,2.35,1438,1.99,2024-10-18,2025-03-20,154,6
Canyon Ridge,A2,B-212,2,1,1,,722,3/15/2025,700,12,80%,1700,2.35,1438,1.99,2024-10-18,2025-03-20,154,6
Canyon Ridge,A2,B-304,3,1,1,,722,3/15/2025,700,12,80%,1700,2.35,1438,1.99,2024-10-18,2025-03-20,154,6
Canyon Ridge,A2,C-303,3,1,1,,722,4/5/2025,500,12,80%,1700,2.35,1504,2.08,2025-03-11,2025-05-08,59,34
Canyon Ridge,A2,B-104,1,1,1,,722,3/15/2025,700,12,80%,1705,2.36,1442,2,2024-10-18,2025-03-20,154,6
Canyon Ridge,A2,B-111,1,1,1,,722,3/15/2025,700,12,80%,1705,2.36,1442,2,2024-10-18,2025-03-20,154,6
Canyon Ridge,A2,B-105,1,1,1,,722,3/15/2025,700,12,80%,1705,2.36,1442,2,2024-10-18,2025-03-20,154,6
Canyon Ridge,A2,B-404,4,1,1,,722,3/15/2025,700,12,80%,1705,2.36,1442,2,2024-10-18,2025-03-12,146,0
Canyon Ridge,A2,D-203,2,1,1,,722,9/1/2024,700,12,120%,1725,2.39,1725,2.39,2024-07-16,2024-07-26,11,0
Canyon Ridge,A2,D-203,2,1,1,,722,8/12/2025,700,12,120%,1725,2.39,1725,2.39,2025-07-02,2025-08-26,56,15
Canyon Ridge,A2,D-103,1,1,1,,722,9/1/2024,700,12,120%,1730,2.4,1730,2.4,2024-07-16,2024-07-26,11,0
Canyon Ridge,A2,D-103,1,1,1,,722,8/12/2025,700,12,120%,1730,2.4,1730,2.4,2025-07-02,2025-08-23,53,12
Canyon Ridge,A2,A-206,2,1,1,,722,9/1/2024,700,12,120%,1750,2.42,1750,2.42,2024-07-16,2024-07-26,11,0
Canyon Ridge,A2,B-305,3,1,1,,722,3/15/2025,700,12,120%,1750,2.42,1481,2.05,2024-10-18,2025-03-18,152,4
Canyon Ridge,A2 1x1,C-403,4,1,1,,722,4/5/2025,700,13,120%,1755,2.43,1568,2.17,2025-03-06,2026-02-10,342,312
Canyon Ridge,A2,D-303,3,1,1,,722,8/12/2025,700,12,120%,1775,2.46,1502,2.08,2025-07-02,2025-09-17,78,37
Canyon Ridge,A2,E-205,2,1,1,,722,8/5/2025,700,15,120%,1775,2.46,1556,2.16,2025-05-30,2025-12-24,209,142
Canyon Ridge,A2 1x1,D-314,3,1,1,,722,2/7/2026,700,13,120%,1775,2.46,1775,2.46,2025-07-02,2026-02-15,229,9
Canyon Ridge,A2,C-203,2,1,1,,722,4/5/2025,700,12,120%,1775,2.46,1775,2.46,2025-03-11,2025-09-03,177,152
Canyon Ridge,A2,D-405,4,1,1,,722,8/15/2025,700,12,120%,1775,2.46,1502,2.08,2025-07-02,2025-07-26,25,0
Canyon Ridge,A2,C-305,3,1,1,,722,4/5/2025,700,12,120%,1775,2.46,1775,2.46,2025-03-06,2025-07-30,147,117
Canyon Ridge,A2,E-203,2,1,1,,722,8/5/2025,700,12,120%,1775,2.46,1502,2.08,2025-05-30,2025-09-14,108,41
Canyon Ridge,A2,D-305,3,1,1,,722,8/12/2025,700,12,120%,1775,2.46,1502,2.08,2025-07-02,2025-09-17,78,37
Canyon Ridge,A2 1x1,B-412,4,1,1,,722,3/15/2025,700,12,120%,1705,2.36,1508,2.09,2024-10-18,2025-04-18,183,35
Canyon Ridge,A2 1x1,B-412,4,1,1,,722,5/31/2026,700,12,120%,1780,2.47,1780,2.47,2026-03-01,2026-03-11,11,0
Canyon Ridge,A2,E-103,1,1,1,,722,8/5/2025,700,15,120%,1780,2.47,1561,2.16,2025-05-30,2025-11-02,157,90
Canyon Ridge,A2,E-105,1,1,1,,722,8/5/2025,700,15,120%,1780,2.47,1561,2.16,2025-05-30,2025-11-09,164,97
Canyon Ridge,A2,E-404,4,1,1,,722,8/5/2025,700,12,120%,1780,2.47,1506,2.09,2025-05-30,2025-06-24,26,0
Canyon Ridge,A2 1x1,B-112,1,1,1,,722,3/15/2025,700,12,120%,1710,2.37,1513,2.1,2024-10-18,2025-04-07,172,24
Canyon Ridge,A2 1x1,B-112,1,1,1,,722,5/17/2026,700,12,120%,1785,2.47,1785,2.47,2026-03-13,2026-03-27,15,0
Canyon Ridge,A2 1x1,D-212,2,1,1,,722,8/12/2025,700,12,120%,1565,2.17,1565,2.17,2025-07-02,2025-08-26,56,15
Canyon Ridge,A2 1x1,D-212,2,1,1,,722,6/16/2026,700,12,120%,1800,2.49,1800,2.49,2026-04-06,2026-04-11,6,0
Canyon Ridge,A2,D-514,5,1,1,,722,8/15/2025,700,12,120%,1830,2.53,1548,2.14,2025-07-02,2025-08-11,41,0
Canyon Ridge,A2 1x1,D-403,4,1,1,,722,8/12/2025,700,12,120%,1775,2.46,1775,2.46,2025-07-02,2025-09-09,70,29
Canyon Ridge,A2 1x1,D-403,4,1,1,,722,8/16/2026,700,,120%,1850,2.56,1850,2.56,2026-06-14,2026-06-18,5,0
Canyon Ridge,A2 1x1,B-311,3,1,1,,722,3/15/2025,700,12,120%,1800,2.49,1592,2.2,2024-10-18,2025-04-17,182,34
Canyon Ridge,A2 1x1,B-311,3,1,1,,722,6/1/2026,700,12,120%,1875,2.6,1875,2.6,2026-03-13,2026-03-27,15,0
Canyon Ridge,A2 1x1,C-205,2,1,1,,722,4/5/2025,700,12,120%,1750,2.42,1548,2.14,2025-03-11,2025-06-14,96,71
Canyon Ridge,A2 1x1,C-205,2,1,1,,722,8/24/2026,700,,120%,1900,2.63,1900,2.63,2026-06-18,2026-07-01,14,0
Canyon Ridge,A2 1x1,C-405,4,1,1,,722,4/5/2025,500,12,120%,1780,2.47,1574,2.18,2025-03-11,2025-05-05,56,31
Canyon Ridge,A2 1x1,C-405,4,1,1,,722,7/13/2026,700,12,120%,1965,2.72,1965,2.72,2026-05-04,2026-05-24,21,0
Canyon Ridge,A2 1x1,E-303,3,1,1,,722,8/5/2025,700,13,120%,1975,2.74,1835,2.54,2025-05-30,2026-03-08,283,216
Canyon Ridge,A2 1x1,E-405,4,1,1,,722,8/5/2025,700,13,120%,1985,2.75,1985,2.75,2025-05-30,2026-03-18,293,226
Canyon Ridge,A2,B-405,4,1,1,,722,3/15/2025,700,13,120%,1985,2.75,1703,2.36,2024-10-18,2025-09-24,342,194
Canyon Ridge,A2 1x1,E-305,3,1,1,,722,8/5/2025,700,13,120%,2000,2.77,2000,2.77,2025-05-30,2026-03-31,306,239
Canyon Ridge,A2,E-403,4,1,1,,722,8/5/2025,700,15,120%,2085,2.89,2085,2.89,2025-05-30,2025-10-21,145,78
Canyon Ridge,A2 1x1,B-411,4,1,1,,722,3/15/2025,700,12,120%,1760,2.44,1760,2.44,2024-10-18,2025-03-03,137,0
Canyon Ridge,A2 1x1,B-411,4,1,1,,722,7/7/2026,700,12,120%,2090,2.89,2090,2.89,2026-05-01,2026-05-22,22,0
Canyon Ridge,A1,A-101,1,1,1,,775,9/1/2024,700,12,80%,1650,2.13,1459,1.88,2024-07-16,2024-12-25,163,116
Canyon Ridge,A1,B-121,1,1,1,,775,3/15/2025,700,12,120%,1780,2.3,1780,2.3,2024-07-16,2025-03-06,234,0
Canyon Ridge,A1,C-307,3,1,1,,775,9/1/2024,700,12,120%,1850,2.39,1850,2.39,2024-07-16,2024-07-26,11,0
Canyon Ridge,A1,C-307,3,1,1,,775,4/5/2025,500,12,120%,1800,2.32,1592,2.05,2025-03-06,2025-05-03,59,29
Canyon Ridge,A1,A-201,2,1,1,,775,9/1/2024,700,12,120%,1825,2.35,1825,2.35,2024-07-16,2024-07-26,11,0
Canyon Ridge,A1,A-301,3,1,1,,775,9/1/2024,700,12,120%,1900,2.45,1607,2.07,2024-08-02,2024-12-09,130,100
Canyon Ridge,A1,E-207,2,1,1,,775,8/5/2025,700,12,120%,1925,2.48,1629,2.1,2025-05-30,2025-07-20,52,0
Canyon Ridge,A1 1x1,E-107,1,1,1,,775,8/5/2025,700,13,120%,1960,2.53,1821,2.35,2025-05-30,2026-03-03,278,211
Canyon Ridge,A1 1x1,C-107,1,1,1,,775,4/5/2025,700,12,120%,1810,2.34,1601,2.07,2025-03-11,2025-04-18,39,14
Canyon Ridge,A1 1x1,C-107,1,1,1,,775,5/20/2026,700,12,120%,2045,2.64,2045,2.64,2025-10-02,2026-05-06,217,0
Canyon Ridge,A1 1x1,E-307,3,1,1,,775,8/5/2025,700,13,120%,2055,2.65,1909,2.46,2025-05-30,2026-03-08,283,216
Canyon Ridge,A1 1x1,B-221,2,1,1,,775,3/15/2025,500,12,120%,1825,2.35,1614,2.08,2024-07-16,2025-05-15,304,62
Canyon Ridge,A1 1x1,B-221,2,1,1,,775,7/22/2026,700,,120%,2055,2.65,2055,2.65,2026-05-15,2026-07-10,57,0
Canyon Ridge,A1 1x1,C-207,2,1,1,,775,9/1/2024,700,12,120%,1850,2.39,1850,2.39,2024-07-16,2024-07-26,11,0
Canyon Ridge,A1 1x1,C-207,2,1,1,,775,4/5/2025,500,12,120%,1825,2.35,1614,2.08,2025-03-11,2025-05-17,68,43
Canyon Ridge,A1 1x1,C-207,2,1,1,,775,7/28/2026,700,,120%,2055,2.65,2055,2.65,2026-05-23,2026-06-18,27,0
Canyon Ridge,A1 1x1,C-407,4,1,1,,775,4/5/2025,700,12,120%,2005,2.59,1696,2.19,2025-03-11,2025-08-21,164,139
Canyon Ridge,A1 1x1,C-407,4,1,1,,775,5/15/2026,700,12,120%,2060,2.66,2060,2.66,2026-03-10,2026-04-11,33,0
Canyon Ridge,A1 1x1,E-407,4,1,1,,775,8/5/2025,700,15,120%,2215,2.86,1942,2.51,2025-05-30,2025-12-21,206,139
Canyon Ridge,A1 1x1,E-407,4,1,1,,775,8/25/2026,700,,120%,2095,2.7,2095,2.7,2026-07-03,,13,0
Canyon Ridge,A1 1x1,A-401,4,1,1,,775,9/1/2024,700,12,120%,2005,2.59,1696,2.19,2024-08-02,2025-01-18,170,140
Canyon Ridge,A1 1x1,A-401,4,1,1,,775,4/11/2026,700,12,120%,2160,2.79,2160,2.79,2026-02-02,2026-03-29,56,0
Canyon Ridge,A1 1x1,B-321,3,1,1,,775,3/15/2025,700,13,120%,2205,2.85,2205,2.85,2024-10-18,2026-03-25,524,376
Canyon Ridge,A1 1x1,B-421,4,1,1,,775,3/15/2025,700,12,120%,2085,2.69,1764,2.28,2024-10-18,2025-07-21,277,129
Canyon Ridge,A1 1x1,B-421,4,1,1,,775,6/13/2026,700,12,120%,2245,2.9,2245,2.9,2026-05-26,2026-05-29,4,0
Canyon Ridge,B2,B-209,2,2,2,,934,3/15/2025,700,12,120%,2050,2.19,1734,1.86,2024-10-18,2025-06-29,255,107
Canyon Ridge,B2,B-309,3,2,2,,934,3/15/2025,500,12,120%,2100,2.25,1858,1.99,2025-02-19,2025-05-31,102,78
Canyon Ridge,B2 2x2,B-409,4,2,2,,934,3/15/2025,700,12,120%,2210,2.37,1870,2,2025-02-19,2025-03-11,21,0
Canyon Ridge,B2 2x2,B-409,4,2,2,,934,5/3/2026,700,12,120%,2320,2.48,2320,2.48,2026-02-26,2026-03-21,24,0
Canyon Ridge,B2,D-209,2,2,2,,940,8/12/2025,700,15,80%,1845,1.96,1845,1.96,2025-07-02,2025-10-29,120,79
Canyon Ridge,B2 2x2,B-109,1,2,2,,940,3/15/2025,700,15,120%,2005,2.13,1758,1.87,2025-02-19,2025-11-29,284,260
Canyon Ridge,B2 2x2,B-109,1,2,2,,940,4/1/2026,700,13,120%,2215,2.36,2215,2.36,2026-03-27,2026-03-31,5,0
Canyon Ridge,B2,A-114,1,2,2,,965,9/18/2024,700,12,80%,1740,1.8,1606,1.66,2024-09-18,2025-03-26,190,190
Canyon Ridge,B2,A-411,4,2,2,,965,9/1/2024,700,12,80%,1775,1.84,1570,1.63,2024-07-26,2025-04-11,260,223
Canyon Ridge,B2,A-210,2,2,2,,965,9/1/2024,700,12,80%,1795,1.86,1519,1.57,2024-07-26,2025-01-15,174,137
Canyon Ridge,B2,A-104,1,2,2,,965,9/1/2024,700,12,80%,1795,1.86,1519,1.57,2024-07-26,2025-03-14,232,195
Canyon Ridge,B2,B-314,3,2,2,,965,3/15/2025,700,12,80%,1795,1.86,1795,1.86,2024-10-16,2025-08-08,297,147
Canyon Ridge,B2,B-318,3,2,2,,965,3/15/2025,700,12,80%,1795,1.86,1519,1.57,2024-10-16,2025-08-15,304,154
Canyon Ridge,B2,A-203,2,2,2,,965,9/1/2024,700,12,80%,2050,2.12,1892,1.96,2024-07-16,2024-09-20,67,20
Canyon Ridge,B2,A-203,2,2,2,,965,5/23/2025,700,12,80%,1795,1.86,1519,1.57,2025-03-20,2025-08-21,155,91
Canyon Ridge,B2,B-215,2,2,2,,965,3/15/2025,700,12,80%,1795,1.86,1795,1.86,2024-10-18,2025-08-26,313,165
Canyon Ridge,B2,D-310,3,2,2,,965,8/12/2025,700,12,80%,1795,1.86,1795,1.86,2025-07-02,2025-08-27,57,16
Canyon Ridge,B2,B-310,3,2,2,,965,3/15/2025,700,15,80%,1845,1.91,1845,1.91,2024-10-16,2025-11-22,403,253
Canyon Ridge,B2,D-206,2,2,2,,965,8/12/2025,700,15,80%,1845,1.91,1845,1.91,2025-07-02,2025-10-30,121,80
Canyon Ridge,B2,A-211,2,2,2,,965,9/1/2024,700,12,80%,1850,1.92,1636,1.7,2024-07-26,2025-04-04,253,216
Canyon Ridge,B2,A-312,3,2,2,,965,9/1/2024,700,12,80%,1850,1.92,1850,1.92,2024-07-26,2024-11-08,106,69
Canyon Ridge,B2,B-208,2,2,2,,965,3/15/2025,700,12,80%,1875,1.94,1586,1.64,2024-10-18,2025-07-14,270,122
Canyon Ridge,B2,A-314,3,2,2,,965,9/1/2024,700,12,80%,1895,1.96,1603,1.66,2024-07-26,2025-01-31,190,153
Canyon Ridge,B2 2x2,B-110,1,2,2,,965,3/15/2025,700,13,80%,1895,1.96,1693,1.75,2024-07-16,2026-02-07,572,330
Canyon Ridge,B2 2x2,A-204,2,2,2,,965,9/1/2024,700,12,80%,1850,1.92,1565,1.62,2024-07-16,2024-10-21,98,51
Canyon Ridge,B2 2x2,A-204,2,2,2,,965,8/20/2025,700,14,80%,1895,1.96,1707,1.77,2025-08-04,2026-01-30,180,164
Canyon Ridge,B2,D-109,1,2,2,,965,9/1/2024,700,12,80%,2030,2.1,2030,2.1,2024-07-16,2024-07-26,11,0
Canyon Ridge,B2,D-109,1,2,2,,965,8/12/2025,700,14,80%,1895,1.96,1645,1.7,2025-07-02,2026-01-26,209,168
Canyon Ridge,B2,D-207,2,2,2,,965,8/12/2025,700,14,80%,1895,1.96,1645,1.7,2025-07-02,2025-10-08,99,58
Canyon Ridge,B2,D-306,3,2,2,,965,8/12/2025,700,13,80%,1895,1.96,1626,1.68,2025-07-02,2025-09-24,85,44
Canyon Ridge,B2,A-212,2,2,2,,965,9/1/2024,700,12,120%,1950,2.02,1950,2.02,2024-07-26,2024-09-15,52,15
Canyon Ridge,B2,D-309,3,2,2,,965,8/12/2025,700,15,120%,2000,2.07,1754,1.82,2025-07-02,2025-12-23,175,134
Canyon Ridge,B2,A-209,2,2,2,,965,9/1/2024,700,12,120%,2000,2.07,2000,2.07,2024-07-26,2024-10-30,97,60
Canyon Ridge,B2,B-316,3,2,2,,965,3/15/2025,700,12,120%,2000,2.07,2000,2.07,2024-10-16,2025-08-08,297,147
