Market,State,Inbound,Outbound,Net Migration,Population,Median HHI,Median Age,Migration Type
"Binghamton, NY Metro Area, New York",,0,6,-6,238423.04,65420.0799895896,40.3,In-State
"Greeley, CO Metro Area, Colorado",,48,54,-6,366802.21,96839.82308894367,35.3,In-State
"Hilo-Kailua, HI Micro Area, Hawaii",,5,11,-6,213130.08,79219.36184565118,44.3,In-State
"Kingston, NY Metro Area, New York",,0,6,-6,171396.95,86963.63830557988,44.1,In-State
"Port Townsend, WA Micro Area, Washington",,0,6,-6,30127.58,73995.63618116749,59.8,In-State
"Wilmington, NC Metro Area, North Carolina",,0,6,-6,487407.58,76587.8080841498,45.4,In-State
"Hinesville, GA Metro Area, Georgia",,0,7,-7,92814.66,62501.013931548216,29.7,In-State
"San Angelo, TX Metro Area, Texas",,0,7,-7,126948.79,68183.2516486076,36.1,In-State
"Tifton, GA Micro Area, Georgia",,0,7,-7,49157.8,49818.92069510544,37.4,In-State
"Walla Walla, WA Metro Area, Washington",,10,17,-7,63763.87,74259.02800158662,38.5,In-State
"Fort Leonard Wood, MO Micro Area, Missouri",,0,8,-8,57392.83,65977.31860141804,27.8,In-State
"Beaumont-Port Arthur, TX Metro Area, Texas",,3,12,-9,400662.14,65515.78100316318,37.7,In-State
"Charleston-North Charleston, SC Metro Area, South Carolina",,115,124,-9,914799.46,85118.8770752649,38.2,In-State
"Jamestown-Dunkirk, NY Micro Area, New York",,0,9,-9,123254.86,58402.53852838714,42.9,In-State
"Longview, TX Metro Area, Texas",,7,16,-9,295774.27,67001.70134187758,38.1,In-State
"Carson City, NV Metro Area, Nevada",,0,10,-10,56089.12,71371.85071384526,42.4,In-State
"Charlotte-Concord-Gastonia, NC-SC Metro Area, South Carolina",,9,19,-10,2906013.66,83829.74209701296,37.9,In-State
"Fairbanks-College, AK Metro Area, Alaska",,16,26,-10,108805.85,89707.33986255992,32.5,In-State
"North Port-Bradenton-Sarasota, FL Metro Area, Florida",,110,120,-10,932574.74,81479.81749569408,53.6,In-State
"Coos Bay-North Bend, OR Micro Area, Oregon",,5,16,-11,61703.06,62031.02024509731,48.6,In-State
"Duluth, MN-WI Metro Area, Minnesota",,0,11,-11,281355.77,72231.9850165213,41.5,In-State
"Kennewick-Richland, WA Metro Area, Washington",,60,71,-11,318927.26,89066.72546357552,34.6,In-State
"Port Angeles, WA Micro Area, Washington",,0,11,-11,76828.25,70660.6714042868,52.1,In-State
"Bay City, MI Metro Area, Michigan",,0,12,-12,102196.52,62105.49138709105,43.9,In-State
"Show Low, AZ Micro Area, Arizona",,6,18,-12,116535.19,54344.84996326604,39.5,In-State
"Clearlake, CA Micro Area, California",,0,13,-13,67801.66,60936.23148289034,44.1,In-State
"Cortland, NY Micro Area, New York",,0,13,-13,48506.8,69777.65799997968,37,In-State
"Midland, MI Metro Area, Michigan",,0,13,-13,84959.43,78496.59739838445,41.8,In-State
"Mount Pleasant, MI Micro Area, Michigan",,0,14,-14,75130.7,55505.44541466604,30.1,In-State
"The Dalles, OR Micro Area, Oregon",,0,14,-14,23661.16,64104.27850494375,41,In-State
"Kahului-Wailuku, HI Metro Area, Hawaii",,0,15,-15,165816.39,97653.50243036868,43.2,In-State
"Des Moines-West Des Moines, IA Metro Area, Iowa",,74,90,-16,744828.59,86660.5743887439,36.8,In-State
"Eugene-Springfield, OR Metro Area, Oregon",,41,58,-17,391767.67,71348.51788710387,40.3,In-State
"Corvallis, OR Metro Area, Oregon",,12,30,-18,106275.25,76898.56599788518,34.5,In-State
"Hermiston-Pendleton, OR Micro Area, Oregon",,23,41,-18,90532.39,68970.24968204898,36.8,In-State
"Palm Bay-Melbourne-Titusville, FL Metro Area, Florida",,72,90,-18,652969.7,79572.87067131819,46.7,In-State
"Panama City-Panama City Beach, FL Metro Area, Florida",,18,36,-18,231419.92,71467.63355954849,41.1,In-State
"Atlanta-Sandy Springs-Roswell, GA Metro Area, Georgia",,21,40,-19,6425050.44,90201.4248459812,37.2,In-State
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area, Minnesota",,31,51,-20,3759013.86,99851.24589393004,38,In-State
"Newport, OR Micro Area, Oregon",,5,25,-20,49019.47,63695.11940453885,52.7,In-State
"Cullman, AL Micro Area, Alabama",,0,21,-21,85306.76,62707.81630805973,40.8,In-State
"North Platte, NE Micro Area, Nebraska",,0,21,-21,34542.33,66048.17382966286,42.5,In-State
"Detroit-Warren-Dearborn, MI Metro Area, Michigan",,20,43,-23,4399449.7,76729.96131758142,40.3,In-State
"Jackson, MS Metro Area, Mississippi",,47,70,-23,630381.63,61554.112808456885,38.4,In-State
"Mayfield, KY Micro Area, Kentucky",,0,23,-23,38434.85,50876.54362319879,40.4,In-State
"San Antonio-New Braunfels, TX Metro Area, Texas",,34,57,-23,2837499.78,76332.99800295764,35.9,In-State
"Cheyenne, WY Metro Area, Wyoming",,45,69,-24,103036.86,80794.58399034315,38.5,In-State
"Gulfport-Biloxi, MS Metro Area, Mississippi",,33,57,-24,428591.83,63056.97074860001,39.8,In-State
"Oxford, MS Micro Area, Mississippi",,0,24,-24,68319.28,65820.21869485684,32.6,In-State
"Auburn-Opelika, AL Metro Area, Alabama",,0,26,-26,195417.99,64248.321935644664,34.1,In-State
"Pensacola-Ferry Pass-Brent, FL Metro Area, Florida",,15,41,-26,533083.25,76166.9180035584,39,In-State
"Pittsburgh, PA Metro Area, Pennsylvania",,6,32,-26,2387393.5,75803.89004959162,42.8,In-State
"St. Louis, MO-IL Metro Area, Illinois",,4,30,-26,2816888.62,80546.2348474843,39.9,In-State
"Clarksburg, WV Micro Area, West Virginia",,0,27,-27,89755.36,59929.36621879415,43,In-State
"Saginaw, MI Metro Area, Michigan",,0,27,-27,189675.1,60675.34245408922,41.2,In-State
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area, Florida",,0,27,-27,165802.89,73119.10785421947,55.3,In-State
"Morgantown, WV Metro Area, West Virginia",,0,28,-28,147263.83,64555.05581665691,35.1,In-State
"Paducah, KY-IL Metro Area, Kentucky",,0,28,-28,98167.25,65173.39209877211,43.2,In-State
"Clarksville, TN-KY Metro Area, Kentucky",,39,69,-30,340230.01,69670.00511174639,32.1,In-State
"Dixon, IL Micro Area, Illinois",,0,30,-30,33314.07,70914.10144802756,43.1,In-State
"Wildwood-The Villages, FL Metro Area, Florida",,0,30,-30,157257.7,76563.0649411911,68.5,In-State
"Eau Claire, WI Metro Area, Wisconsin",,0,31,-31,173814.11,74554.67367698332,38.2,In-State
"Kingsport-Bristol, TN-VA Metro Area, Tennessee",,0,32,-32,310836.16,58196.12522854084,45.7,In-State
"Mobile, AL Metro Area, Alabama",,0,32,-32,413128.05,58959.56432730946,38.5,In-State
"Frankfort, KY Micro Area, Kentucky",,0,35,-35,74288.33,69884.29178959165,41.2,In-State
"Grand Rapids-Wyoming-Kentwood, MI Metro Area, Michigan",,0,35,-35,1181153.79,83369.24879790847,36.8,In-State
"Greencastle, IN Micro Area, Indiana",,0,35,-35,38476.62,77278.01079789289,38.4,In-State
"Chattanooga, TN-GA Metro Area, Georgia",,0,37,-37,586675.61,72275.1013066281,40.4,In-State
"Boulder, CO Metro Area, Colorado",,0,40,-40,337057.87,104962.94362858492,37.7,In-State
"Concord, NH Micro Area, New Hampshire",,0,40,-40,154523.29,97114.88178266886,42.9,In-State
"Akron, OH Metro Area, Ohio",,0,41,-41,706558.15,72367.69581290128,41,In-State
"Fort Wayne, IN Metro Area, Indiana",,0,42,-42,463130.85,71279.53595511834,36.8,In-State
"Roanoke, VA Metro Area, Virginia",,0,42,-42,315383.38,69312.07549367427,42.8,In-State
"Fort Collins-Loveland, CO Metro Area, Colorado",,96,139,-43,378927.13,93803.93358466926,36.8,In-State
"Ocala, FL Metro Area, Florida",,22,65,-43,421439.15,61093.72154237765,47.9,In-State
"Indianapolis-Carmel-Greenwood, IN Metro Area, Indiana",,41,85,-44,2153109.97,80541.73284191979,36.9,In-State
"Lima, OH Metro Area, Ohio",,0,44,-44,104637.57,64736.04574987441,39.7,In-State
"Montgomery, AL Metro Area, Alabama",,0,44,-44,379274.5,64417.01328862129,38,In-State
"Yuma, AZ Metro Area, Arizona",,11,56,-45,236319.05,63383.579277334036,36.1,In-State
"Casper, WY Metro Area, Wyoming",,0,47,-47,81321.89,72051.26197296394,38.4,In-State
"Silver City, NM Micro Area, New Mexico",,0,47,-47,26349.85,44960.60057670487,49.5,In-State
"Las Cruces, NM Metro Area, New Mexico",,0,48,-48,229914.86,57292.2261454292,34.3,In-State
"Seaford, DE Micro Area, Delaware",,0,51,-51,274747.32,81936.46301670308,51.9,In-State
"Sevierville, TN Micro Area, Tennessee",,0,52,-52,99940.68,62889.48689810588,43.5,In-State
"Burlington-South Burlington, VT Metro Area, Vermont",,0,56,-56,231875.06,93505.03042900741,38.5,In-State
"Corbin, KY Micro Area, Kentucky",,0,56,-56,148430.75,46483.591371955205,39,In-State
"Cañon City, CO Micro Area, Colorado",,0,57,-57,47524.91,63777.6799707294,44.7,In-State
"Ponca City, OK Micro Area, Oklahoma",,0,59,-59,43555.68,58650.39293603847,38.5,In-State
"Lawton, OK Metro Area, Oklahoma",,0,61,-61,129414.07,60961.88925093357,34.4,In-State
"Los Alamos, NM Micro Area, New Mexico",,0,61,-61,20370.34,146412.6915629196,39.3,In-State
"Boston-Cambridge-Newton, MA-NH Metro Area, New Hampshire",,0,63,-63,5165775.82,116315.01453313328,39.3,In-State
"Santa Fe, NM Metro Area, New Mexico",,0,65,-65,154540.87,79203.32835343546,48.7,In-State
"Kansas City, MO-KS Metro Area, Missouri",,95,162,-67,2242948.36,83959.76888095679,38,In-State
"Mason City, IA Micro Area, Iowa",,0,77,-77,49541.13,69757.53667142501,44,In-State
"Macomb, IL Micro Area, Illinois",,0,79,-79,30329.92,54355.86215268355,34.9,In-State
"Greenville-Anderson-Greer, SC Metro Area, South Carolina",,0,95,-95,992381.08,71036.95904043558,38.8,In-State
"Norwich-New London-Willimantic, CT Metro Area, Connecticut",,0,99,-99,240701.29,87198.80157544013,41.1,In-State
"Knoxville, TN Metro Area, Tennessee",,25,139,-114,949227.63,72347.19841095801,40.6,In-State
"Cleveland, OH Metro Area, Ohio",,105,223,-118,2147765.63,70718.05704057778,41.6,In-State
"Oklahoma City, OK Metro Area, Oklahoma",,67,206,-139,1475208.87,72191.94169777248,36,In-State
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area, Tennessee",,153,312,-159,2122858.78,86108.3710518532,36.9,In-State
"Moscow, ID Micro Area, Idaho",,122,319,-197,45121.18,65984.43343861318,30.6,Cross-State
